Postcodecijfers|Postbus J/N|Gemeentecode per 1 januari 2024|Gemeentenaam per 1 januari 2024
|O|9999|onbekend
0010|N|9910|woonachtig in België
0020|N|9920|woonachtig in Duitsland
0030|N|9930|woonachtig elders in het buitenland
0040|N|9940|geen vaste woon- of verblijfplaats
1000|J|0363|Amsterdam
1001|J|0363|Amsterdam
1002|J|0363|Amsterdam
1003|J|0363|Amsterdam
1005|J|0363|Amsterdam
1006|J|0363|Amsterdam
1007|J|0363|Amsterdam
1008|J|0363|Amsterdam
1009|J|0363|Amsterdam
1011|N|0363|Amsterdam
1012|N|0363|Amsterdam
1013|N|0363|Amsterdam
1014|N|0363|Amsterdam
1015|N|0363|Amsterdam
1016|N|0363|Amsterdam
1017|N|0363|Amsterdam
1018|N|0363|Amsterdam
1019|N|0363|Amsterdam
1020|J|0363|Amsterdam
1021|N|0363|Amsterdam
1022|N|0363|Amsterdam
1023|N|0363|Amsterdam
1024|N|0363|Amsterdam
1025|N|0363|Amsterdam
1026|N|0363|Amsterdam
1027|N|0363|Amsterdam
1028|N|0363|Amsterdam
1030|J|0363|Amsterdam
1031|N|0363|Amsterdam
1032|N|0363|Amsterdam
1033|N|0363|Amsterdam
1034|N|0363|Amsterdam
1035|N|0363|Amsterdam
1036|N|0363|Amsterdam
1037|N|0363|Amsterdam
1040|J|0363|Amsterdam
1041|N|0363|Amsterdam
1042|N|0363|Amsterdam
1043|N|0363|Amsterdam
1044|N|0363|Amsterdam
1045|N|0363|Amsterdam
1046|N|0363|Amsterdam
1047|N|0363|Amsterdam
1051|N|0363|Amsterdam
1052|N|0363|Amsterdam
1053|N|0363|Amsterdam
1054|N|0363|Amsterdam
1055|N|0363|Amsterdam
1056|N|0363|Amsterdam
1057|N|0363|Amsterdam
1058|N|0363|Amsterdam
1059|N|0363|Amsterdam
1060|N|0363|Amsterdam
1061|N|0363|Amsterdam
1062|N|0363|Amsterdam
1063|N|0363|Amsterdam
1064|N|0363|Amsterdam
1065|N|0363|Amsterdam
1066|N|0363|Amsterdam
1067|N|0363|Amsterdam
1068|N|0363|Amsterdam
1069|N|0363|Amsterdam
1070|J|0363|Amsterdam
1071|N|0363|Amsterdam
1072|N|0363|Amsterdam
1073|N|0363|Amsterdam
1074|N|0363|Amsterdam
1075|N|0363|Amsterdam
